STATION,STATION LONG NAME,UNIT NAME,SEASONAL MAX MW (HSL),AVAILABLE MW AFTER OUTAGE/DERATE,MW REDUCTION FROM OUTAGE/DERATE,FUEL TYPE,START,END,RESOURCE ENTITY,COUNTY
HHGT,HORSE HOLLOW GENERATION TIE,HHOLLOW3,224,5,219,WIND,2/14/21 12:00 AM,2/15/21 11:59 PM,HORSE HOLLOW GENERATION TIE LLC 3 (RE),TAYLOR
WAP,WA PARISH,WAP_G2,169,43,126,NG,2/14/21 12:00 AM,2/14/21 2:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,276,276,NG,2/14/21 12:00 AM,2/14/21 1:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
KARAKAW1,KARANKAWA1 WIND FARM,UNIT2,103,83,20,WIND,2/14/21 12:30 AM,2/14/21 3:50 PM,KARANKAWA WIND LLC B (RE),SAN PATRICIO
BULLCRK,BULL CREEK WIND,WND1,88,0,88,WIND,2/14/21 12:43 AM,2/16/21 1:48 AM,BULL CREEK WIND LLC (RE),BORDEN
BULLCRK,BULL CREEK WIND,WND2,90,0,90,WIND,2/14/21 12:43 AM,2/16/21 1:48 AM,BULL CREEK WIND LLC (RE),BORDEN
KARAKAW1,KARANKAWA1 WIND FARM,UNIT1,103,83,20,WIND,2/14/21 12:45 AM,2/14/21 3:50 PM,KARANKAWA WIND LLC B (RE),SAN PATRICIO
,,,,,,,2/14/21 12:55 AM,2/19/21 3:48 PM,,
WAP,WA PARISH,WAP_G4,552,340,212,NG,2/14/21 1:00 AM,2/14/21 2:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G2,169,39,130,NG,2/14/21 2:00 AM,2/14/21 3:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,272,280,NG,2/14/21 2:00 AM,2/14/21 3:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
LARDVFTN,LAREDO ENERGY CENTER,G4,97,36,61,NG,2/14/21 2:20 AM,2/14/21 4:08 AM,LAREDO LLC (RE),WEBB
LARDVFTN,LAREDO ENERGY CENTER,G5,94,36,58,NG,2/14/21 2:20 AM,2/14/21 4:08 AM,LAREDO LLC (RE),WEBB
BAFFIN,BAFFIN WIND PROJECT,UNIT1,100,2,98,WIND,2/14/21 2:42 AM,2/15/21 1:40 AM,AVANGRID TEXAS RENEWABLES LLC (RE),KENEDY
,,,,,,,2/14/21 2:58 AM,2/14/21 6:10 AM,,
,,,,,,,2/14/21 2:58 AM,2/14/21 6:10 AM,,
TAHOKA,TAHOKA WIND,UNIT_1,150,25,125,WIND,2/14/21 2:58 AM,2/14/21 6:30 AM,TAHOKA WIND LLC (RE),LYNN
TAHOKA,TAHOKA WIND,UNIT_2,150,25,125,WIND,2/14/21 2:58 AM,2/14/21 6:30 AM,TAHOKA WIND LLC (RE),LYNN
DERMOTT,DERMOTT WIND,UNIT1,127,18,109,WIND,2/14/21 3:00 AM,2/14/21 6:30 AM,DERMOTT WIND LLC (RE),SCURRY
DERMOTT,DERMOTT WIND,UNIT2,127,18,109,WIND,2/14/21 3:00 AM,2/14/21 6:30 AM,DERMOTT WIND LLC (RE),SCURRY
GPASTURE,GREEN PASTURES WIND,WIND_I,150,35,115,WIND,2/14/21 3:00 AM,2/14/21 6:30 AM,GREEN PASTURES WIND I LLC (RE),BAYLOR
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT1,169,30,139,WIND,2/14/21 3:00 AM,2/14/21 6:30 AM,SAGE DRAW WIND LLC (RE),LYNN
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT2,169,30,139,WIND,2/14/21 3:00 AM,2/14/21 6:30 AM,SAGE DRAW WIND LLC (RE),LYNN
VERTIGO,VERTIGO WIND,WIND_I,150,35,115,WIND,2/14/21 3:00 AM,2/14/21 6:30 AM,GREEN PASTURES WIND II LLC (RE),BAYLOR
WAP,WA PARISH,WAP_G2,169,45,124,NG,2/14/21 3:00 AM,2/14/21 4:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,284,268,NG,2/14/21 3:00 AM,2/14/21 4:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G2,169,48,121,NG,2/14/21 4:00 AM,2/14/21 6:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G3,258,202,56,NG,2/14/21 4:00 AM,2/14/21 5:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,316,236,NG,2/14/21 4:00 AM,2/14/21 5:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
,,,,,,,2/14/21 4:30 AM,2/14/21 4:31 AM,,
,,,,,,,2/14/21 4:31 AM,2/14/21 8:15 AM,,
SENATEWD,SENATE WIND FARM,UNIT1,150,26,124,WIND,2/14/21 5:00 AM,2/18/21 3:48 PM,SENATE WIND LLC (RE),JACK
WAP,WA PARISH,WAP_G3,258,232,26,NG,2/14/21 5:00 AM,2/14/21 6:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,407,145,NG,2/14/21 5:00 AM,2/14/21 6:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
KEO,SHERBINO II WIND FARM,SHRBINO2,132,0,132,WIND,2/14/21 5:06 AM,2/17/21 12:44 PM,SHERBINO II WIND FARM LLC (RE),PECOS
GRANDVW1,GRANDVIEW WIND FARM,COLA,100,90,10,WIND,2/14/21 5:29 AM,2/14/21 9:56 AM,COLBECKS CORNER LLC (RE),CARSON
GRANDVW1,GRANDVIEW WIND FARM,COLB,100,87,13,WIND,2/14/21 5:29 AM,2/14/21 9:56 AM,COLBECKS CORNER LLC (RE),CARSON
GRANDVW1,GRANDVIEW WIND FARM,GV1A,107,77,30,WIND,2/14/21 5:30 AM,2/14/21 6:10 AM,GRANDVIEW WIND FARM LLC (RE),CARSON
GRANDVW1,GRANDVIEW WIND FARM,GV1B,104,99,5,WIND,2/14/21 5:30 AM,2/14/21 6:10 AM,GRANDVIEW WIND FARM LLC (RE),CARSON
AEEC,ANTELOPE ELK ENERGY CENTER,ANTLP_1,56,0,56,NG,2/14/21 5:31 AM,2/14/21 7:20 AM,GOLDEN SPREAD ELECTRIC COOPERATIVE INC (RE),HALE
AEEC,ANTELOPE ELK ENERGY CENTER,ANTLP_2,56,0,56,NG,2/14/21 5:31 AM,2/14/21 7:20 AM,GOLDEN SPREAD ELECTRIC COOPERATIVE INC (RE),HALE
AEEC,ANTELOPE ELK ENERGY CENTER,ANTLP_3,56,0,56,NG,2/14/21 5:31 AM,2/14/21 7:20 AM,GOLDEN SPREAD ELECTRIC COOPERATIVE INC (RE),HALE
INDL,INADALE,INADALE1,95,5,90,WIND,2/14/21 5:32 AM,2/14/21 9:18 AM,INADALE WIND FARM LLC (RE),NOLAN
INDL,INADALE,INADALE2,102,10,92,WIND,2/14/21 5:32 AM,2/14/21 9:18 AM,INADALE WIND FARM LLC (RE),NOLAN
AEEC,ANTELOPE ELK ENERGY CENTER,ELK_3,200,116,84,NG,2/14/21 5:39 AM,2/14/21 7:21 AM,GOLDEN SPREAD ELECTRIC COOPERATIVE INC (RE),HALE
WAP,WA PARISH,WAP_G2,169,106,63,NG,2/14/21 6:00 AM,2/14/21 7:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G3,258,251,7,NG,2/14/21 6:00 AM,2/14/21 12:04 PM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,506,46,NG,2/14/21 6:00 AM,2/14/21 7:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
GRANDVW1,GRANDVIEW WIND FARM,GV1A,107,90,17,WIND,2/14/21 6:10 AM,2/14/21 9:57 AM,GRANDVIEW WIND FARM LLC (RE),CARSON
GRANDVW1,GRANDVIEW WIND FARM,GV1B,104,99,5,WIND,2/14/21 6:10 AM,2/14/21 9:57 AM,GRANDVIEW WIND FARM LLC (RE),CARSON
,,,,,,,2/14/21 6:13 AM,2/16/21 2:28 AM,,
,,,,,,,2/14/21 6:13 AM,2/16/21 2:28 AM,,
RDCANYON,RED CANYON,RDCNY1,90,0,90,WIND,2/14/21 6:22 AM,2/16/21 6:00 AM,POST WIND LLC (RE),BORDEN
SRWE1,STEPHENS RANCH WIND ENERGY PROJECT PHASE 1,SRWE2,165,20,145,WIND,2/14/21 6:27 AM,2/18/21 8:29 AM,STEPHENS RANCH WIND ENERGY II LLC (RE),BORDEN
SRWE1,STEPHENS RANCH WIND ENERGY PROJECT PHASE 1,UNIT1,211,10,201,WIND,2/14/21 6:27 AM,2/17/21 6:33 AM,STEPHENS RANCH WIND ENERGY LLC (RE),BORDEN
CALAVERS,CALAVERAS,OWS2,410,360,50,NG,2/14/21 6:28 AM,2/14/21 8:48 AM,CPS ENERGY (RE),BEXAR
DERMOTT,DERMOTT WIND,UNIT1,127,32,95,WIND,2/14/21 6:30 AM,2/14/21 7:30 AM,DERMOTT WIND LLC (RE),SCURRY
DERMOTT,DERMOTT WIND,UNIT2,127,32,95,WIND,2/14/21 6:30 AM,2/14/21 7:30 AM,DERMOTT WIND LLC (RE),SCURRY
GPASTURE,GREEN PASTURES WIND,WIND_I,150,45,105,WIND,2/14/21 6:30 AM,2/16/21 4:49 AM,GREEN PASTURES WIND I LLC (RE),BAYLOR
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT1,169,47,122,WIND,2/14/21 6:30 AM,2/14/21 7:30 AM,SAGE DRAW WIND LLC (RE),LYNN
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT2,169,47,122,WIND,2/14/21 6:30 AM,2/14/21 7:30 AM,SAGE DRAW WIND LLC (RE),LYNN
SSPURTWO,SPINNING SPUR WIND TWO,WIND_1,161,3,158,WIND,2/14/21 6:30 AM,2/14/21 12:31 PM,SPINNING SPUR WIND TWO LLC (RE),OLDHAM
TAHOKA,TAHOKA WIND,UNIT_1,150,40,110,WIND,2/14/21 6:30 AM,2/14/21 7:30 AM,TAHOKA WIND LLC (RE),LYNN
TAHOKA,TAHOKA WIND,UNIT_2,150,40,110,WIND,2/14/21 6:30 AM,2/14/21 7:30 AM,TAHOKA WIND LLC (RE),LYNN
VERTIGO,VERTIGO WIND,WIND_I,150,55,95,WIND,2/14/21 6:30 AM,2/16/21 4:49 AM,GREEN PASTURES WIND II LLC (RE),BAYLOR
KARAKAW2,KARANKAWA2 WIND FARM,UNIT3,100,70,30,WIND,2/14/21 6:37 AM,2/14/21 12:03 PM,KARANKAWA WIND LLC (RE),SAN PATRICIO
,,,,,,,2/14/21 6:40 AM,2/14/21 7:25 AM,,
,,,,,,,2/14/21 6:40 AM,2/14/21 7:25 AM,,
WAP,WA PARISH,WAP_G2,169,105,64,NG,2/14/21 7:00 AM,2/14/21 10:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,469,83,NG,2/14/21 7:00 AM,2/14/21 8:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
CBEC,Colorado Bend Energy Center,GT3,87,0,87,NG,2/14/21 7:15 AM,2/14/21 1:20 PM,COLORADO BEND I POWER LLC (RE),WHARTON
CBEC,Colorado Bend Energy Center,STG2,110,45,65,NG,2/14/21 7:15 AM,2/14/21 1:20 PM,COLORADO BEND I POWER LLC (RE),WHARTON
COTPLNS,COTTON PLAINS WIND,COTTONPL,50,25,25,WIND,2/14/21 7:25 AM,2/15/21 8:00 AM,COTTON PLAINS WIND I LLC (RE),FLOYD
,,,,,,,2/14/21 7:28 AM,2/16/21 3:17 AM,,
,,,,,,,2/14/21 7:28 AM,2/16/21 3:17 AM,,
COTPLNS,COTTON PLAINS WIND,OLDSETLR,151,55,96,WIND,2/14/21 7:30 AM,2/15/21 7:50 AM,OLD SETTLER WIND LLC (RE),FLOYD
DERMOTT,DERMOTT WIND,UNIT1,127,47,80,WIND,2/14/21 7:30 AM,2/14/21 9:04 AM,DERMOTT WIND LLC (RE),SCURRY
DERMOTT,DERMOTT WIND,UNIT2,127,47,80,WIND,2/14/21 7:30 AM,2/14/21 9:04 AM,DERMOTT WIND LLC (RE),SCURRY
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT1,169,65,104,WIND,2/14/21 7:30 AM,2/15/21 1:40 PM,SAGE DRAW WIND LLC (RE),LYNN
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT2,169,65,104,WIND,2/14/21 7:30 AM,2/15/21 1:40 PM,SAGE DRAW WIND LLC (RE),LYNN
TAHOKA,TAHOKA WIND,UNIT_1,150,65,85,WIND,2/14/21 7:30 AM,2/16/21 4:12 AM,TAHOKA WIND LLC (RE),LYNN
TAHOKA,TAHOKA WIND,UNIT_2,150,65,85,WIND,2/14/21 7:30 AM,2/16/21 4:12 AM,TAHOKA WIND LLC (RE),LYNN
HLSES,HANDLEY SES,UNIT3,395,370,25,NG,2/14/21 7:45 AM,2/14/21 10:07 PM,EXGEN HANDLEY POWER LLC (RE),TARRANT
HLSES,HANDLEY SES,UNIT4,435,400,35,NG,2/14/21 7:45 AM,2/15/21 11:30 AM,EXGEN HANDLEY POWER LLC (RE),TARRANT
HRFDWIND,HEREFORD WIND,WIND_G,100,0,100,WIND,2/14/21 7:55 AM,2/14/21 10:58 AM,TX HEREFORD WIND LLC (RE),DEAF SMITH
,,,,,,,2/14/21 8:00 AM,2/14/21 12:59 PM,,
,,,,,,,2/14/21 8:00 AM,2/14/21 12:59 PM,,
WAP,WA PARISH,WAP_G4,552,498,54,NG,2/14/21 8:00 AM,2/14/21 9:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
SCSES,STRYKER CREEK SES,UNIT2,502,0,502,NG,2/14/21 8:32 AM,2/14/21 12:32 PM,LUMINANT GENERATION COMPANY LLC (RE),CHEROKEE
MESQCRK,MESQUITE CREEK WIND,WND1,106,15,91,WIND,2/14/21 8:41 AM,2/15/21 7:43 PM,MESQUITE CREEK WIND LLC (RE),DAWSON
MESQCRK,MESQUITE CREEK WIND,WND2,106,15,91,WIND,2/14/21 8:41 AM,2/15/21 7:43 PM,MESQUITE CREEK WIND LLC (RE),DAWSON
QUEEN_SL,QUEEN SOLAR,SOLAR1,103,0,103,SOLAR,2/14/21 8:43 AM,2/14/21 2:43 PM,ROADRUNNER SOLAR PROJECT LLC (RE),UPTON
QUEEN_SL,QUEEN SOLAR,SOLAR2,103,0,103,SOLAR,2/14/21 8:43 AM,2/14/21 2:43 PM,ROADRUNNER SOLAR PROJECT LLC (RE),UPTON
QUEEN_SL,QUEEN SOLAR,SOLAR3,98,0,98,SOLAR,2/14/21 8:43 AM,2/14/21 2:43 PM,ENEL GREEN POWER ROADRUNNER SOLAR PROJECT II LLC (RE),UPTON
QUEEN_SL,QUEEN SOLAR,SOLAR4,108,0,108,SOLAR,2/14/21 8:43 AM,2/14/21 2:43 PM,ENEL GREEN POWER ROADRUNNER SOLAR PROJECT II LLC (RE),UPTON
MIL,MILLER,MILLERG3,208,90,118,NG,2/14/21 9:00 AM,2/14/21 5:15 PM,BRAZOS ELECTRIC POWER CO OP INC (RE),PALO PINTO
WAP,WA PARISH,WAP_G4,552,497,55,NG,2/14/21 9:00 AM,2/14/21 10:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
DERMOTT,DERMOTT WIND,UNIT1,127,88,39,WIND,2/14/21 9:05 AM,2/14/21 12:00 PM,DERMOTT WIND LLC (RE),SCURRY
DERMOTT,DERMOTT WIND,UNIT2,127,87,40,WIND,2/14/21 9:05 AM,2/14/21 12:00 PM,DERMOTT WIND LLC (RE),SCURRY
INDL,INADALE,INADALE1,95,15,80,WIND,2/14/21 9:18 AM,2/16/21 3:43 PM,INADALE WIND FARM LLC (RE),NOLAN
INDL,INADALE,INADALE2,102,20,82,WIND,2/14/21 9:18 AM,2/16/21 3:43 PM,INADALE WIND FARM LLC (RE),NOLAN
HWF,HACKBERRY WIND FARM,HWFG1,164,133,31,WIND,2/14/21 9:25 AM,2/17/21 11:59 PM,HACKBERRY WIND LLC (RE),SHACKELFORD
FLTCK,Flat Creek Switch,SSI,53,10,43,WIND,2/14/21 9:46 AM,2/14/21 11:10 AM,SILVER STAR I POWER PARTNERS LLC (RE),ERATH
PYR,PYRON WIND FARM,PYRON1,122,5,117,WIND,2/14/21 9:54 AM,2/14/21 12:35 PM,PYRON WIND FARM LLC (RE),SCURRY
PYR,PYRON WIND FARM,PYRON2,128,5,123,WIND,2/14/21 9:54 AM,2/14/21 12:35 PM,PYRON WIND FARM LLC (RE),SCURRY
GRANDVW1,GRANDVIEW WIND FARM,COLA,100,90,10,WIND,2/14/21 9:56 AM,2/17/21 9:01 PM,COLBECKS CORNER LLC (RE),CARSON
GRANDVW1,GRANDVIEW WIND FARM,COLB,100,90,10,WIND,2/14/21 9:56 AM,2/17/21 9:01 PM,COLBECKS CORNER LLC (RE),CARSON
GRANDVW1,GRANDVIEW WIND FARM,GV1A,107,90,17,WIND,2/14/21 9:57 AM,2/17/21 9:09 PM,GRANDVIEW WIND FARM LLC (RE),CARSON
GRANDVW1,GRANDVIEW WIND FARM,GV1B,104,90,14,WIND,2/14/21 9:57 AM,2/17/21 9:09 PM,GRANDVIEW WIND FARM LLC (RE),CARSON
WAP,WA PARISH,WAP_G2,169,47,122,NG,2/14/21 10:00 AM,2/14/21 12:04 PM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,355,197,NG,2/14/21 10:00 AM,2/14/21 11:00 AM,NRG TEXAS POWER LLC (RE),FORT BEND
OECCS,ODESSA ECTOR CCS,CT11,195,0,195,NG,2/14/21 10:05 AM,2/15/21 2:30 PM,LA FRONTERA HOLDINGS LLC (RE),ECTOR
OECCS,ODESSA ECTOR CCS,UNIT1,217,80,137,NG,2/14/21 10:05 AM,2/14/21 12:00 PM,LA FRONTERA HOLDINGS LLC (RE),ECTOR
BUCKTHRN,BUCKTHORN WIND,UNIT1,45,21,24,WIND,2/14/21 10:07 AM,2/15/21 4:00 AM,BUCKTHORN WIND PROJECT LLC (RE),ERATH
BUCKTHRN,BUCKTHORN WIND,UNIT2,56,15,41,WIND,2/14/21 10:07 AM,2/15/21 4:00 AM,BUCKTHORN WIND PROJECT LLC (RE),ERATH
,,,,,,,2/14/21 10:09 AM,2/15/21 6:18 AM,,
TYLRWIND,TYLER BLUFF WIND,UNIT1,126,85,41,WIND,2/14/21 10:45 AM,2/14/21 2:56 PM,TYLER BLUFF WIND PROJECT LLC (RE),COOKE
ASTRA,FALVEZ ASTRA,UNIT1,163,0,163,WIND,2/14/21 10:52 AM,2/14/21 12:40 PM,ASTRA WIND LLC (RE),DEAF SMITH
HRFDWIND,HEREFORD WIND,WIND_G,100,3,97,WIND,2/14/21 10:58 AM,2/14/21 12:27 PM,TX HEREFORD WIND LLC (RE),DEAF SMITH
WAP,WA PARISH,WAP_G4,552,348,204,NG,2/14/21 11:00 AM,2/14/21 12:04 PM,NRG TEXAS POWER LLC (RE),FORT BEND
WHCCS,WOLF HOLLOW GEN,CT2,235,150,85,NG,2/14/21 11:00 AM,2/14/21 5:15 PM,WOLF HOLLOW I POWER LLC (RE),HOOD
WHCCS,WOLF HOLLOW GEN,STG,269,0,269,NG,2/14/21 11:00 AM,2/14/21 5:15 PM,WOLF HOLLOW I POWER LLC (RE),HOOD
FLTCK,Flat Creek Switch,SSI,53,17,36,WIND,2/14/21 11:11 AM,2/18/21 4:23 PM,SILVER STAR I POWER PARTNERS LLC (RE),ERATH
HHOLLOW4,HORSE HOLLOW 4,WND1,115,0,115,WIND,2/14/21 11:23 AM,2/14/21 3:02 PM,HORSE HOLLOW WIND IV LLC (RE),TAYLOR
LARDVFTN,LAREDO ENERGY CENTER,G4,97,37,60,NG,2/14/21 11:24 AM,2/14/21 1:20 PM,LAREDO LLC (RE),WEBB
LARDVFTN,LAREDO ENERGY CENTER,G5,94,37,57,NG,2/14/21 11:24 AM,2/14/21 1:45 PM,LAREDO LLC (RE),WEBB
MCSES,MOUNTAIN CREEK SES,UNIT6,122,115,7,NG,2/14/21 11:30 AM,2/15/21 8:30 AM,MOUNTAIN CREEK POWER LLC (RE),DALLAS
MCSES,MOUNTAIN CREEK SES,UNIT7,118,115,3,NG,2/14/21 11:30 AM,2/14/21 5:30 PM,MOUNTAIN CREEK POWER LLC (RE),DALLAS
MCSES,MOUNTAIN CREEK SES,UNIT8,568,200,368,NG,2/14/21 11:30 AM,2/15/21 3:00 AM,MOUNTAIN CREEK POWER LLC (RE),DALLAS
B_DAVIS,BARNEY DAVIS,B_DAVIG2,325,300,25,NG,2/14/21 11:45 AM,2/14/21 7:15 PM,BARNEY DAVIS LLC (RE),NUECES
B_DAVIS,BARNEY DAVIS,B_DAVIG3,165,150,15,NG,2/14/21 11:45 AM,2/14/21 7:15 PM,BARNEY DAVIS LLC (RE),NUECES
B_DAVIS,BARNEY DAVIS,B_DAVIG4,165,150,15,NG,2/14/21 11:45 AM,2/14/21 7:15 PM,BARNEY DAVIS LLC (RE),NUECES
NUECES_B,NUECES BAY,NUECESG7,325,300,25,NG,2/14/21 11:45 AM,2/14/21 7:15 PM,NUECES BAY LLC (RE),NUECES
NUECES_B,NUECES BAY,NUECESG8,165,150,15,NG,2/14/21 11:45 AM,2/14/21 7:15 PM,NUECES BAY LLC (RE),NUECES
NUECES_B,NUECES BAY,NUECESG9,165,150,15,NG,2/14/21 11:45 AM,2/14/21 7:15 PM,NUECES BAY LLC (RE),NUECES
VERAWIND,VERA WIND,UNIT1,12,10,2,WIND,2/14/21 11:45 AM,2/15/21 5:00 PM,EL CAMPO WIND LLC (RE),KNOX
VERAWIND,VERA WIND,UNIT4,22,16,6,WIND,2/14/21 11:45 AM,2/15/21 5:00 PM,EL CAMPO WIND LLC (RE),KNOX
SJS,SAN JACINTO STEAM,SJS_G2,87,84,3,NG,2/14/21 11:48 AM,2/15/21 5:59 AM,NRG TEXAS POWER LLC (RE),HARRIS
BRISCOE,BRISCOE WIND FARM,WIND,150,10,140,WIND,2/14/21 12:00 PM,2/14/21 10:22 PM,BRISCOE WIND FARM LLC (RE),BRISCOE
DERMOTT,DERMOTT WIND,UNIT1,127,35,92,WIND,2/14/21 12:00 PM,2/15/21 2:01 PM,DERMOTT WIND LLC (RE),SCURRY
DERMOTT,DERMOTT WIND,UNIT2,127,35,92,WIND,2/14/21 12:00 PM,2/15/21 2:01 PM,DERMOTT WIND LLC (RE),SCURRY
MISAE,CHILDRESS SOLAR PARK,UNIT1,121,30,91,SOLAR,2/14/21 12:00 PM,2/15/21 6:34 AM,CHILDRESS SOLAR PARK LLC (RE),CHILDRESS
MISAE,CHILDRESS SOLAR PARK,UNIT2,119,24,95,SOLAR,2/14/21 12:00 PM,2/15/21 6:34 AM,CHILDRESS SOLAR PARK LLC (RE),CHILDRESS
OECCS,ODESSA ECTOR CCS,UNIT1,217,100,117,NG,2/14/21 12:00 PM,2/15/21 1:13 PM,LA FRONTERA HOLDINGS LLC (RE),ECTOR
RAYBURN,SAM RAYBURN SWITCHYD,RAYBURG7,50,0,50,NG,2/14/21 12:02 PM,2/14/21 4:21 PM,SOUTH TEXAS ELECTRIC CO OP INC (RE),VICTORIA
WAP,WA PARISH,WAP_G2,169,123,46,NG,2/14/21 12:04 PM,2/15/21 10:04 AM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G3,258,251,7,NG,2/14/21 12:04 PM,2/15/21 1:05 PM,NRG TEXAS POWER LLC (RE),FORT BEND
WAP,WA PARISH,WAP_G4,552,532,20,NG,2/14/21 12:04 PM,2/20/21 11:59 PM,NRG TEXAS POWER LLC (RE),FORT BEND
HRFDWIND,HEREFORD WIND,WIND_G,100,10,90,WIND,2/14/21 12:27 PM,2/14/21 1:13 PM,TX HEREFORD WIND LLC (RE),DEAF SMITH
SSPURTWO,SPINNING SPUR WIND TWO,WIND_1,161,30,131,WIND,2/14/21 12:31 PM,2/14/21 1:13 PM,SPINNING SPUR WIND TWO LLC (RE),OLDHAM
PYR,PYRON WIND FARM,PYRON1,122,2,120,WIND,2/14/21 12:35 PM,2/14/21 2:35 PM,PYRON WIND FARM LLC (RE),SCURRY
PYR,PYRON WIND FARM,PYRON2,128,2,126,WIND,2/14/21 12:35 PM,2/14/21 2:35 PM,PYRON WIND FARM LLC (RE),SCURRY
ASTRA,FALVEZ ASTRA,UNIT1,163,10,153,WIND,2/14/21 12:40 PM,2/19/21 5:26 PM,ASTRA WIND LLC (RE),DEAF SMITH
,,,,,,,2/14/21 12:45 PM,2/14/21 12:46 PM,,
,,,,,,,2/14/21 12:47 PM,2/16/21 9:45 AM,,
SCSES,STRYKER CREEK SES,UNIT2,502,470,32,NG,2/14/21 12:47 PM,2/17/21 9:00 AM,LUMINANT GENERATION COMPANY LLC (RE),CHEROKEE
,,,,,,,2/14/21 1:00 PM,2/14/21 7:00 PM,,
,,,,,,,2/14/21 1:00 PM,2/14/21 7:00 PM,,
BLSUMMIT,BLUE SUMMIT,UNIT2_17,7,3,4,WIND,2/14/21 1:06 PM,2/19/21 8:36 PM,BLUE SUMMIT II WIND LLC (RE),WILBARGER
BLSUMMIT,BLUE SUMMIT,UNIT2_25,90,17,73,WIND,2/14/21 1:06 PM,2/14/21 9:15 PM,BLUE SUMMIT II WIND LLC (RE),WILBARGER
HRFDWIND,HEREFORD WIND,WIND_G,100,50,50,WIND,2/14/21 1:13 PM,2/16/21 2:28 AM,TX HEREFORD WIND LLC (RE),DEAF SMITH
SSPURTWO,SPINNING SPUR WIND TWO,WIND_1,161,50,111,WIND,2/14/21 1:13 PM,2/15/21 12:39 PM,SPINNING SPUR WIND TWO LLC (RE),OLDHAM
INDNNWP,INDIAN MESA NWP,INDNNWP2,92,44,48,WIND,2/14/21 1:21 PM,2/14/21 7:30 PM,INDIAN MESA WIND LLC (RE),PECOS
CAPRIDG4,CAPRICORN RIDGE 4,CR4,122,48,74,WIND,2/14/21 1:34 PM,2/19/21 1:49 AM,CAP RIDGE WIND IV LLC (RE),STERLING
CAPRIDGE,CAPRICORN RIDGE,CR3,201,0,201,WIND,2/14/21 1:34 PM,2/18/21 12:13 AM,CAP RIDGE WIND III LLC (RE),COKE
TAYGETE,TAYGETE SOLAR,UNIT1,126,98,28,SOLAR,2/14/21 1:44 PM,2/15/21 11:00 AM,TAYGETE ENERGY PROJECT LLC (RE),PECOS
TAYGETE,TAYGETE SOLAR,UNIT2,129,55,74,SOLAR,2/14/21 1:44 PM,2/15/21 11:00 AM,TAYGETE ENERGY PROJECT LLC (RE),PECOS
BRAUNIG,BRAUNIG,VHB6CT5,48,0,48,NG,2/14/21 1:49 PM,2/14/21 11:59 PM,CPS ENERGY (RE),BEXAR
KARAKAW2,KARANKAWA2 WIND FARM,UNIT3,100,49,51,WIND,2/14/21 1:51 PM,2/14/21 10:38 PM,KARANKAWA WIND LLC (RE),SAN PATRICIO
WL_RANCH,WILSON RANCH SUBSTATION,UNIT1,200,0,200,WIND,2/14/21 1:59 PM,2/22/21 11:59 PM,LIVE OAK WIND PROJECT LLC (RE),SCHLEICHER
BRAUNIG,BRAUNIG,VHB6CT8,47,0,47,NG,2/14/21 2:01 PM,2/14/21 6:26 PM,CPS ENERGY (RE),BEXAR
SALTFORK,SALT FORK,UNIT1,64,64,0,WIND,2/14/21 2:13 PM,2/15/21 7:11 AM,SALT FORK WIND LLC (RE),DONLEY
SALTFORK,SALT FORK,UNIT2,110,100,10,WIND,2/14/21 2:13 PM,2/15/21 7:11 AM,SALT FORK WIND LLC (RE),DONLEY
