STATION,STATION LONG NAME,UNIT NAME,SEASONAL MAX MW (HSL),AVAILABLE MW AFTER OUTAGE/DERATE,MW REDUCTION FROM OUTAGE/DERATE,FUEL TYPE,START,END,RESOURCE ENTITY,COUNTY
VERAWIND,VERA WIND,UNIT3,101,96,5,WIND,2/16/21 4:30 PM,2/20/21 6:00 PM,EL CAMPO WIND LLC (RE),KNOX
VERAWIND,VERA WIND,UNIT5,101,92,9,WIND,2/16/21 4:30 PM,2/20/21 6:00 PM,EL CAMPO WIND LLC (RE),KNOX
DEC,Denton Energy Center,AGR_D,56,0,56,NG,2/16/21 4:32 PM,2/17/21 2:12 PM,DENTON MUNICIPAL ELECTRIC DEC (RE),DENTON
CRANELL,CRANELL WIND,UNIT1,220,25,195,WIND,2/16/21 4:38 PM,2/16/21 7:18 PM,CRANELL WIND FARM LLC (RE),REFUGIO
PENA3,PENASCAL II WIND PROJECT,UNIT3,101,50,51,WIND,2/16/21 4:45 PM,2/16/21 4:46 PM,AVANGRID TEXAS RENEWABLES LLC C (RE),KENEDY
PAP1,PAPALOTE CREEK,PAP1,180,40,140,WIND,2/16/21 4:46 PM,2/16/21 6:51 PM,"PAPALOTE CREEK I LLC CPS (RE)
PAPALOTE CREEK I LLC (RE)",SAN PATRICIO
PENA3,PENASCAL II WIND PROJECT,UNIT3,101,50,51,WIND,2/16/21 4:46 PM,2/17/21 4:20 AM,AVANGRID TEXAS RENEWABLES LLC C (RE),KENEDY
VERAWIND,VERA WIND,UNIT1,12,10,2,WIND,2/16/21 4:46 PM,2/18/21 5:00 PM,EL CAMPO WIND LLC (RE),KNOX
VERAWIND,VERA WIND,UNIT4,22,18,4,WIND,2/16/21 4:46 PM,2/20/21 6:00 PM,EL CAMPO WIND LLC (RE),KNOX
ELB,ELBOW CREEK,ELBCREEK,119,0,119,WIND,2/16/21 4:50 PM,2/19/21 1:55 PM,ELBOW CREEK WIND PROJECT LLC (RE),HOWARD
GOAT,GOAT WIND,GOATWIN2,70,0,70,WIND,2/16/21 4:50 PM,2/19/21 8:20 PM,GOAT WIND LLC (RE),STERLING
GOAT,GOAT WIND,GOATWIND,80,0,80,WIND,2/16/21 4:50 PM,2/24/21 11:59 PM,GOAT WIND LLC (RE),STERLING
